pandas.tseries.resample.Resampler.sum,http://pandas.pydata.org/pandas-docs/stable/generated/pandas.tseries.resample.Resampler.sum.html#pandas.tseries.resample.Resampler.sum
pandas.tseries.resample.Resampler.std,http://pandas.pydata.org/pandas-docs/stable/generated/pandas.tseries.resample.Resampler.std.html#pandas.tseries.resample.Resampler.std
pandas.tseries.resample.Resampler.sem,http://pandas.pydata.org/pandas-docs/stable/generated/pandas.tseries.resample.Resampler.sem.html#pandas.tseries.resample.Resampler.sem
pandas.tseries.resample.Resampler.size,http://pandas.pydata.org/pandas-docs/stable/generated/pandas.tseries.resample.Resampler.size.html#pandas.tseries.resample.Resampler.size
pandas.tseries.resample.Resampler.prod,http://pandas.pydata.org/pandas-docs/stable/generated/pandas.tseries.resample.Resampler.prod.html#pandas.tseries.resample.Resampler.prod
pandas.tseries.resample.Resampler.ohlc,http://pandas.pydata.org/pandas-docs/stable/generated/pandas.tseries.resample.Resampler.ohlc.html#pandas.tseries.resample.Resampler.ohlc
pandas.tseries.resample.Resampler.max,http://pandas.pydata.org/pandas-docs/stable/generated/pandas.tseries.resample.Resampler.max.html#pandas.tseries.resample.Resampler.max
pandas.tseries.resample.Resampler.min,http://pandas.pydata.org/pandas-docs/stable/generated/pandas.tseries.resample.Resampler.min.html#pandas.tseries.resample.Resampler.min
pandas.tseries.resample.Resampler.median,http://pandas.pydata.org/pandas-docs/stable/generated/pandas.tseries.resample.Resampler.median.html#pandas.tseries.resample.Resampler.median
pandas.tseries.resample.Resampler.mean,http://pandas.pydata.org/pandas-docs/stable/generated/pandas.tseries.resample.Resampler.mean.html#pandas.tseries.resample.Resampler.mean
pandas.tseries.resample.Resampler.last,http://pandas.pydata.org/pandas-docs/stable/generated/pandas.tseries.resample.Resampler.last.html#pandas.tseries.resample.Resampler.last
pandas.tseries.resample.Resampler.first,http://pandas.pydata.org/pandas-docs/stable/generated/pandas.tseries.resample.Resampler.first.html#pandas.tseries.resample.Resampler.first
pandas.tseries.resample.Resampler.nunique,http://pandas.pydata.org/pandas-docs/stable/generated/pandas.tseries.resample.Resampler.nunique.html#pandas.tseries.resample.Resampler.nunique
pandas.tseries.resample.Resampler.count,http://pandas.pydata.org/pandas-docs/stable/generated/pandas.tseries.resample.Resampler.count.html#pandas.tseries.resample.Resampler.count
pandas.tseries.resample.Resampler.interpolate,http://pandas.pydata.org/pandas-docs/stable/generated/pandas.tseries.resample.Resampler.interpolate.html#pandas.tseries.resample.Resampler.interpolate
pandas.tseries.resample.Resampler.pad,http://pandas.pydata.org/pandas-docs/stable/generated/pandas.tseries.resample.Resampler.pad.html#pandas.tseries.resample.Resampler.pad
pandas.tseries.resample.Resampler.asfreq,http://pandas.pydata.org/pandas-docs/stable/generated/pandas.tseries.resample.Resampler.asfreq.html#pandas.tseries.resample.Resampler.asfreq
pandas.tseries.resample.Resampler.bfill,http://pandas.pydata.org/pandas-docs/stable/generated/pandas.tseries.resample.Resampler.bfill.html#pandas.tseries.resample.Resampler.bfill
pandas.tseries.resample.Resampler.fillna,http://pandas.pydata.org/pandas-docs/stable/generated/pandas.tseries.resample.Resampler.fillna.html#pandas.tseries.resample.Resampler.fillna
pandas.tseries.resample.Resampler.backfill,http://pandas.pydata.org/pandas-docs/stable/generated/pandas.tseries.resample.Resampler.backfill.html#pandas.tseries.resample.Resampler.backfill
